replicon	Nuccore	Assembly	sys_id	Start	End
GCF_000341165.1_NZ_ANBG01000167.1	NZ_ANBG01000167.1	GCF_000341165.1	GCF_000341165.1_NZ_ANBG01000167.1_Conservon_2	51148	54338
GCF_000349325.1_NC_020504.1	NC_020504.1	GCF_000349325.1	GCF_000349325.1_NC_020504.1_Conservon_1	854963	857734
GCF_000349325.1_NC_020504.1	NC_020504.1	GCF_000349325.1	GCF_000349325.1_NC_020504.1_Conservon_2	1177651	1180749
GCF_000349325.1_NC_020504.1	NC_020504.1	GCF_000349325.1	GCF_000349325.1_NC_020504.1_Conservon_3	1422803	1425451
GCF_000349325.1_NC_020504.1	NC_020504.1	GCF_000349325.1	GCF_000349325.1_NC_020504.1_Conservon_4	1710474	1714405
GCF_000349325.1_NC_020504.1	NC_020504.1	GCF_000349325.1	GCF_000349325.1_NC_020504.1_Conservon_5	2573893	2577817
GCF_000349325.1_NC_020504.1	NC_020504.1	GCF_000349325.1	GCF_000349325.1_NC_020504.1_Conservon_6	3242238	3252676
GCF_000349325.1_NC_020504.1	NC_020504.1	GCF_000349325.1	GCF_000349325.1_NC_020504.1_Conservon_7	3505009	3509241
GCF_000349325.1_NC_020504.1	NC_020504.1	GCF_000349325.1	GCF_000349325.1_NC_020504.1_Conservon_8	5614445	5616916
GCF_000349325.1_NC_020504.1	NC_020504.1	GCF_000349325.1	GCF_000349325.1_NC_020504.1_Conservon_9	7799350	7802367
GCF_000349325.1_NC_020504.1	NC_020504.1	GCF_000349325.1	GCF_000349325.1_NC_020504.1_Conservon_10	8050813	8058769
GCF_000349325.1_NC_020504.1	NC_020504.1	GCF_000349325.1	GCF_000349325.1_NC_020504.1_Conservon_11	8365569	8370292
GCF_000349325.1_NC_020504.1	NC_020504.1	GCF_000349325.1	GCF_000349325.1_NC_020504.1_Conservon_12	8668468	8672126
GCF_000359525.1_NC_020990.1	NC_020990.1	GCF_000359525.1	GCF_000359525.1_NC_020990.1_Conservon_1	219777	221325
GCF_000359525.1_NC_020990.1	NC_020990.1	GCF_000359525.1	GCF_000359525.1_NC_020990.1_Conservon_2	305562	309513
GCF_000359525.1_NC_020990.1	NC_020990.1	GCF_000359525.1	GCF_000359525.1_NC_020990.1_Conservon_3	953702	956584
GCF_000359525.1_NC_020990.1	NC_020990.1	GCF_000359525.1	GCF_000359525.1_NC_020990.1_Conservon_4	1514724	1525216
