seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
NZ_AQRK01000063.1	58247	No terminal repeats	64	11	0.9904	NA	1	13.7663	NA	NF012176
NZ_AYTZ01000070.1	18108	No terminal repeats	18	11	0.9721	NA	0	3.9879	NA	NA
NZ_AYXG01000004.1	224767	No terminal repeats	199	11	0.9856	NA	0	0.8100	T_virB11	NF033134;NF000088;NF033068;NF033476;NF033135
NZ_BARF01000108.1	59061	No terminal repeats	42	11	0.9833	NA	2	1.3364	MOBP1	NA
NZ_BBPL01000055.1	57007	No terminal repeats	48	11	0.9896	NA	0	7.0847	NA	NF033068
NZ_CAUVVC010000002.1	72161	No terminal repeats	74	11	0.9669	NA	0	8.2459	T_virB11	NF000496
NZ_CP021355.1	984201	No terminal repeats	1033	11	0.9897	NA	2	216.7490	NA	NF000027;NF012174;NF033068;NF033156;NF033476;NF012174
NZ_CP027859.1	1795495	No terminal repeats	1495	11	0.9879	NA	3	84.0638	T_virB9	NF000225;NF000088;NF000493;NF012171;NF000225;NF033105;NF033068;NF012178;NF033476;NF033135;NF012178;NF033129;NF038208;NF033105;NF012178;NF033134;NF012171;NF033156;NF012174;NF000025;NF033476;NF033129;NF012174;NF033105;NF012174;NF033135;NF012174;NF033129
NZ_JAAGMD010000478.1	19130	No terminal repeats	18	11	0.9788	NA	0	5.0789	NA	NA
NZ_JAAGMD010000421.1	27071	No terminal repeats	25	11	0.9726	NA	0	2.2330	NA	NA
NZ_JAAGMF010000003.1	102413	No terminal repeats	72	11	0.9720	NA	0	4.7244	NA	NF038306
NZ_JAAIKT010000015.1	166126	No terminal repeats	66	11	0.9756	NA	0	7.2011	NA	NA
NZ_JAASAW010000011.1	129425	No terminal repeats	111	11	0.9810	NA	0	0.8650	T_virB11	NF000095;NF033105;NF000469
NZ_JAATPM010000055.1	20757	No terminal repeats	20	11	0.9077	NA	0	8.5732	NA	NF012174
NZ_BCRK01000128.1	17901	No terminal repeats	15	11	0.9850	NA	0	3.5455	NA	NF033068
NZ_BDFA01000012.1	510261	No terminal repeats	450	11	0.9673	NA	0	7.8986	NA	NF033145;NF000496;NF012212;NF000025;NF033105;NF000373;NF000029;NF012178;NF033135;NF012174;NF012174
NZ_BMPR01000042.1	52832	No terminal repeats	47	11	0.7557	NA	0	1.8575	NA	NF012174
NZ_BRZG01000070.1	28674	No terminal repeats	37	11	0.9864	NA	0	10.6133	NA	NF033134
NZ_BSRP01000036.1	94915	No terminal repeats	73	11	0.9855	NA	2	8.8980	MOBP1	NF033115;NF033068;NF012178
NZ_BSTN01000058.1	8405	No terminal repeats	9	11	0.9046	NA	0	0.9125	NA	NA
NZ_CALAGC010000104.1	11653	No terminal repeats	11	11	0.9441	NA	0	1.2188	NA	NA
NZ_CAUOMG010000013.1	37170	No terminal repeats	36	11	0.9214	NA	0	2.6410	T_virB11	NF000496;NF012174
NZ_SHTL01000027.1	16359	No terminal repeats	15	11	0.7727	NA	0	1.6628	NA	NA
NZ_SMJW01000243.1	11631	No terminal repeats	12	11	0.9544	NA	0	2.9530	NA	NA
NZ_SMJX01000376.1	7499	No terminal repeats	10	11	0.9820	NA	0	3.8238	NA	NA
NZ_SPAY01000276.1	32320	No terminal repeats	22	11	0.9604	NA	0	4.8897	NA	NA
NZ_AUBN01000022.1	23460	No terminal repeats	21	11	0.7917	NA	0	2.7776	NA	NA
NZ_BHZI01000085.1	20352	No terminal repeats	21	11	0.9820	NA	0	1.4264	NA	NA
NZ_BMUD01000008.1	334593	No terminal repeats	256	11	0.9791	NA	3	0.2443	MOBP1	NF033061;NF033135;NF033068
NZ_BOOW01000044.1	135104	No terminal repeats	114	11	0.9690	NA	2	9.2739	MOBP1	NF040874;NF033068
NZ_CAUQWC010000094.1	11643	No terminal repeats	9	11	0.8226	NA	0	2.4626	NA	NA
NZ_CM000914.1	1796500	No terminal repeats	1496	11	0.9880	NA	3	84.6934	T_virB9	NF000225;NF000088;NF000493;NF012171;NF000225;NF033105;NF033068;NF012178;NF033476;NF033135;NF012178;NF033129;NF038208;NF033105;NF012178;NF033134;NF012171;NF033156;NF012174;NF000025;NF033476;NF033129;NF012174;NF033105;NF012174;NF033135;NF012174;NF033129
NZ_VBVW01000003.1	39094	No terminal repeats	37	11	0.9660	NA	2	4.1887	MOBP1	NA
NZ_VHQN01000034.1	40213	No terminal repeats	39	11	0.9162	NA	0	4.2240	NA	NF012174
NZ_CALAGC010000037.1	20513	No terminal repeats	19	11	0.9717	NA	0	4.8591	NA	NA
NZ_SHQK01000025.1	16359	No terminal repeats	15	11	0.8113	NA	0	1.6628	NA	NA
NZ_SMKN01000012.1	80929	No terminal repeats	79	11	0.9736	NA	0	1.6402	NA	NF033068
