	Accession_DB	Localisation	start	end	Nuccore	Close_prophage	Cluster	Type	sys_id	Position	replicon	Assembly	New_clade	Type_defensive	Sys_close	Nb_sys_close	Close_type	Close_sys_id	In_plasmid	Close_conservon	LanC	Dehydra_N_Thiopep	Dehydra	Thiopep_Methyl	Methyl	Thiopep	Transporter
0	GCF_000381025.1_NZ_KB905816.1_05659	540146:541352	540146	541352	NZ_KB905816.1	0	GCF_000381025.1_NZ_KB905816.1_05659	lanthipeptide-class-i	GCF_000381025.1_NZ_KB905816.1.region002_lanthipeptide-class-i_527115_574351	5659	GCF_000381025.1_NZ_KB905816.1	GCF_000381025.1	Clade 1	Lanthiphage	0.0				0	0.0	2	1	0	0	1	2	2
2	GCF_000381025.1_NZ_KB905816.1_05680	563090:564350	563090	564350	NZ_KB905816.1	0	GCF_000381025.1_NZ_KB905816.1_05680	lanthipeptide-class-i	GCF_000381025.1_NZ_KB905816.1.region002_lanthipeptide-class-i_527115_574351	5680	GCF_000381025.1_NZ_KB905816.1	GCF_000381025.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	1	2	2
4	GCF_000715845.1_NZ_JNYL01000459.1_00039	5426:6662	5426	6662	NZ_JNYL01000459.1	0	GCF_000719735.1_NZ_JOHQ01000027.1_06446	lanthipeptide-class-i	GCF_000715845.1_NZ_JNYL01000459.1.region001_lanthipeptide-class-i_1_14971	39	GCF_000715845.1_NZ_JNYL01000459.1	GCF_000715845.1	Clade 5	Lanthiphage	0.0				1	0.0	2	1	0	0	1	1	0
6	GCF_000715845.1_NZ_JNYL01000459.1_00042	9283:10615	9283	10615	NZ_JNYL01000459.1	0	GCF_000715845.1_NZ_JNYL01000459.1_00042	lanthipeptide-class-i	GCF_000715845.1_NZ_JNYL01000459.1.region001_lanthipeptide-class-i_1_14971	42	GCF_000715845.1_NZ_JNYL01000459.1	GCF_000715845.1	Non Defensive	lanthipeptide-class-i	0.0				1	0.0	2	1	0	0	1	1	0
8	GCF_000715845.1_NZ_KL571088.1_02485	31325:32552	31325	32552	NZ_KL571088.1	0	GCF_022271435.1_NZ_JAFIQY010000004.1_00475	lanthipeptide-class-i	GCF_000715845.1_NZ_KL571088.1.region001_lanthipeptide-class-i_18360_49769	2485	GCF_000715845.1_NZ_KL571088.1	GCF_000715845.1	Clade 1	Lanthiphage	0.0				1	0.0	2	2	0	0	2	2	1
10	GCF_000715845.1_NZ_KL571088.1_02493	41164:42400	41164	42400	NZ_KL571088.1	0	GCF_000719735.1_NZ_JOHQ01000027.1_06446	lanthipeptide-class-i	GCF_000715845.1_NZ_KL571088.1.region001_lanthipeptide-class-i_18360_49769	2493	GCF_000715845.1_NZ_KL571088.1	GCF_000715845.1	Clade 5	Lanthiphage	0.0				1	0.0	2	2	0	0	2	2	1
12	GCF_003626535.1_NZ_RBAL01000001.1_01336	4506:5571	4506	5571	NZ_RBAL01000001.1	0	GCF_003994375.1_NZ_CP029042.1_03237	lanthipeptide-class-i	GCF_003626535.1_NZ_RBAL01000001.1.region001_lanthipeptide-class-i_1_29865	1336	GCF_003626535.1_NZ_RBAL01000001.1	GCF_003626535.1	Clade 8	Lanthiphage	0.0				0	0.0	2	1	1	1	1	0	0
14	GCF_003626535.1_NZ_RBAL01000001.1_01349	18592:19864	18592	19864	NZ_RBAL01000001.1	0	GCF_028200735.1_NZ_JAQKPV010000001.1_03043	lanthipeptide-class-i	GCF_003626535.1_NZ_RBAL01000001.1.region001_lanthipeptide-class-i_1_29865	1349	GCF_003626535.1_NZ_RBAL01000001.1	GCF_003626535.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	1	1	1	0	0
16	GCF_004193175.1_NZ_SAUH01000001.1_00268	277859:279125	277859	279125	NZ_SAUH01000001.1	0	GCF_013177615.1_NZ_JAATOJ010000094.1_08007	lanthipeptide-class-i	GCF_004193175.1_NZ_SAUH01000001.1.region003_lanthipeptide-class-i_265619_306351	268	GCF_004193175.1_NZ_SAUH01000001.1	GCF_004193175.1	Clade 6	Lanthiphage	0.0				0	0.0	2	1	0	1	1	2	1
18	GCF_004193175.1_NZ_SAUH01000001.1_00291	303249:304443	303249	304443	NZ_SAUH01000001.1	0	GCF_004193175.1_NZ_SAUH01000001.1_00291	lanthipeptide-class-i	GCF_004193175.1_NZ_SAUH01000001.1.region003_lanthipeptide-class-i_265619_306351	291	GCF_004193175.1_NZ_SAUH01000001.1	GCF_004193175.1	Clade 3	Lanthiphage	0.0				0	0.0	2	1	0	1	1	2	1
