seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
NZ_BCYC01000013.1|provirus_268503_279622	11120	Provirus	268503-279622	15	11	0.9754	NA	2	11.3582	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_BEWD01000004.1|provirus_56169_143533	87365	Provirus	56169-143533	159	11	0.9526	NA	6	100.6577	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_AP028461.1|provirus_6397749_6447295	49547	Provirus	6397749-6447295	88	11	0.9455	NA	6	49.8358	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_AP028461.1|provirus_8878146_8890042	11897	Provirus	8878146-8890042	17	11	0.7871	NA	0	4.3224	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_AP028461.1|provirus_12001881_12032437	30557	Provirus	12001881-12032437	31	11	0.7832	NA	0	7.1803	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_BSTL01000018.1|provirus_59531_74074	14544	Provirus	59531-74074	18	11	0.9338	NA	1	8.4553	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VFNP01000002.1|provirus_2382822_2415388	32567	Provirus	2382822-2415388	37	11	0.9450	NA	3	32.4774	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VFNP01000002.1|provirus_2425786_2466494	40709	Provirus	2425786-2466494	43	11	0.9035	NA	4	16.5166	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VLLO01000001.1|provirus_6805298_6818409	13112	Provirus	6805298-6818409	18	11	0.9611	NA	1	7.6717	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VLLO01000001.1|provirus_3557278_3595797	38520	Provirus	3557278-3595797	62	11	0.9397	NA	7	38.3702	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_WWHA01000001.1|provirus_3618972_3638549	19578	Provirus	3618972-3638549	18	11	0.8853	NA	0	6.3782	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP003987.1|provirus_1463790_1510815	47026	Provirus	1463790-1510815	64	11	0.9752	NA	5	39.0786	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP003987.1|provirus_8192720_8239708	46989	Provirus	8192720-8239708	66	11	0.9486	NA	9	50.1170	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP003987.1|provirus_6491913_6516005	24093	Provirus	6491913-6516005	32	11	0.9376	NA	2	32.4562	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP003987.1|provirus_6455839_6477200	21362	Provirus	6455839-6477200	27	11	0.9221	NA	2	17.8695	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP011112.1|provirus_1583167_1627171	44005	Provirus	1583167-1627171	77	11	0.9787	NA	7	43.5436	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP010849.1|provirus_6710650_6771039	60390	Provirus	6710650-6771039	94	11	0.9605	NA	9	78.1435	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP016279.1|provirus_7551244_7569566	18323	Provirus	7551244-7569566	18	11	0.9678	NA	2	26.6275	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP016279.1|provirus_7440655_7462969	22315	Provirus	7440655-7462969	28	11	0.8485	NA	1	8.9440	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP019886.1|provirus_2723906_2732844	8939	Provirus	2723906-2732844	13	11	0.9248	NA	3	8.5725	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP022752.1|provirus_2166323_2212040	45718	Provirus	2166323-2212040	41	11	0.9714	NA	6	32.5499	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP021744.1|provirus_1363288_1413821	50534	Provirus	1363288-1413821	69	11	0.9698	NA	6	44.0973	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP021744.1|provirus_3619654_3633056	13403	Provirus	3619654-3633056	18	11	0.9024	NA	1	22.4588	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP023698.1|provirus_1216707_1246138	29432	Provirus	1216707-1246138	38	11	0.8692	NA	1	13.6043	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
